title,winery,variety,designation,province,region_1,country,points,price,taster_name,description
Columbia Crest 2007 Stone Tree Vineyard Reserve Cabernet Sauvignon (Columbia Valley (WA)),Columbia Crest,Cabernet Sauvignon,Stone Tree Vineyard Reserve,Washington,Columbia Valley (WA),US,91,$35.0,Paul Gregutt,"This wine surprises by being so very pretty—unexpected from such a hot site. Lovely scents of raspberry, strawberry, mint and spice lift the nose; the palate is medium-bodied, nicely tart, perfectly balanced and long. The mix of sweet and tart red fruits lasts deliciously, with the spice adding grace notes. Though blended and aged in 100% new French oak barrels, the oak is muted, and the fruit shines through."
Adelsheim 2013 Pinot Gris (Willamette Valley),Adelsheim,Pinot Gris,,Oregon,Willamette Valley,US,91,$19.0,Paul Gregutt,"A terrific value in a benchmark Oregon Pinot Gris, this is bright and refreshing, with the palate-cleansing minerality that characterizes all of the Adelsheim white wines. Jicama and melon and pear fruits mingle seamlessly, and the wine's texture and length are impressive."
Wagner 2011 Select Riesling (Finger Lakes),Wagner,Riesling,Select,New York,Finger Lakes,US,85,$13.0,Anna Lee C. Iijima,"While off-dry in style, there's a savory apple tone throughout, accented by hints of lime zest and herb. The palate boasts juicy pink grapefruit flavor, along with a hint of lanolin that lingers on the finish."
Zerba Cellars 2006 Syrah (Columbia Valley (WA)),Zerba Cellars,Syrah,,Washington,Columbia Valley (WA),US,88,$30.0,Paul Gregutt,"A strong scent and flavor of vitamin pill mixes with tight red fruit, stone, licorice and earth in this Rhône blend that includes small amounts of Grenache and Mourvèdre. Give this wine time to breathe and let the fruit come forward before you drink it."
Ventosa 2009 Riesling (Finger Lakes),Ventosa,Riesling,,New York,Finger Lakes,US,86,$17.0,Anna Lee C. Iijima,"Whiffs of petrol add complexity to lush honeycrisp apple and stone fruit notes on the nose and palate of this off-dry Riesling. Sleek and steely on the midpalate with an edgy lime juice acidity, and the finish is quite dry."
Frog's Leap 1997 Cabernet Sauvignon (Napa Valley),Frog's Leap,Cabernet Sauvignon,,California,Napa Valley,US,91,$30.0,,"A fine wine at the bottom of the ultrapremium price category. There's some bramble and forest aromas in advance of jammy cherry and blackberry fruit. Fades away smoothly and with good length. Not the most complex Cabernet, but it delivers the goods at all checkpoints."
Artesa 2012 Limited Release Cabernet Sauvignon (Napa Valley),Artesa,Cabernet Sauvignon,Limited Release,California,Napa Valley,US,88,$48.0,Virginie Boone,"Opaque and thick, this wine is robust, yet balanced—a study in cedar and pencil lead that drives into a dimension of dried herb. The savory components find companionship in fruitier notes of cherry and blueberry, before a tannic, oaky finish closes things out."
Red Newt Cellars 2012 Tango Oaks Vineyard Riesling (Finger Lakes),Red Newt Cellars,Riesling,Tango Oaks Vineyard,New York,Finger Lakes,US,91,$20.0,Anna Lee C. Iijima,"Perfumed and elegant, this wine is a highlight within the producer's line up of consistently well-made wines. Waxy honeycomb and floral aromas accent fresh green notes on this off-dry Riesling. It's lean in style, yet plush with sweet white peach and melon flavors. Finishes long with a lingering spray of honeysuckle."
Bloomer Creek 2008 Late Harvest Lot 1 Gewürztraminer (Finger Lakes),Bloomer Creek,Gewürztraminer,Late Harvest Lot 1,New York,Finger Lakes,US,85,$24.0,Anna Lee C. Iijima,"There's a dark, caramelized flair to the honeyed, off-dry palate on this amber gold Gewürz. Rich and full bodied in style, its slightly tinned lychee flavors, black tea astringency and spicy finish make for an unusual, contemplative wine."
Apolloni 2014 Estate Chardonnay (Willamette Valley),Apolloni,Chardonnay,Estate,Oregon,Willamette Valley,US,87,$17.0,Paul Gregutt,"There's a touch of sweetness around fruit flavors of apple, pear and melon. This has a forward, easy-drinking style, and that hint of honey finishes out with a streak of caramel."
